institute,fy2020_21,fy2021_22,fy2022_23,fy2023_24,fy2024_25,total
NIT Calicut,9285622,2493116,25676722,7774975,11972150,57202585
NIT Raipur,2560957,2218344,3417798,8559748,11146313,27903160
NIT Sikkim,741171,420225,504250,23600,3569913,5259159
NIT Delhi,0,3566303,18985039,13352875,4449034,40353521
NIT Durgapur,1237644,8654607,18791264,3493468,0,32176983
NIT Meghalaya,30615356,20124917,8292320,0,0,59032593
NIT Pondicherry,25599435,13081584,23746580,14601839,13754713,90784151
NIT Kurukshetra,0,495600,1119602,2596000,7772405,11983607
NIT Srinagar,786444,780000,12446277,23219838,472171,57704731
NIT Rourkela,80687000,14789000,50911000,61898000,72890000,281175000
